ordinal,role,capture_sha256,worked_for_control_present,disposition
27,assistant,889a94ce0cf3c3b2318001cc84f89200b22fb7f0eab628a02740bda33192fa4f,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
28,user,8028358f9444929b74152be4d2a1f57db0533a565e4d5124fbfaffd43b079a98,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
29,assistant,377062a2ca65936eef1b63f860dba3c5cd808e1931eb96fe8b5c91b42f281eac,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
30,user,369269ccbca8ba43273b102d96a04416b9905c2bb4f907b802516205509ccabd,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
31,assistant,d63e8a95f634295c09a42f1b131b01ab195aa4b83ba1706aed87f1ca254e1727,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
32,user,e5e58da2a2f86761d4b65571a5ac15b7302d7f21807d81d9cb8cce6390b14ab1,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
33,user,04e601a80d4d1020d7cb7b1d2fc99458b11ca1492428d50d21632b1552e2855d,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
34,assistant,2baf34052395045426efaa07b421dbdaf51d1bd432cc0b1e5c30e5b96ead3a65,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
35,user,2348fd7c0e5f0a1f6cd56607d13de07b2cb700cbe6ca3141c26e1c539775cb92,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
36,assistant,40908087c9ad53750d54dd4fe637059ff7fa388cdfefe63d32686313a1b5a8a9,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
37,user,f14ae4e2bcdda1c8235f749fed0ca60ef8b4e6171391527e781e9a54e5e2a262,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
38,assistant,6a00944b8b54d42dc4d8bda3e65294a1c9f207e279d3896596a9a62e1ba3346a,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
39,user,63520844f84e46d7594f91c5df82e569121829c76391957221866228a7c007a3,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
40,assistant,4fbfc192a00d68f4b77865289ab1cf9a61cb56077626c1de1d7fae6dd6c92ece,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
41,user,d0b6d795164e8af5e1582da5016d835af3e3f4c0f3c31ea4393bc2a91ae58db4,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
42,assistant,d53beed1a2d875336160d779c1a42254557e17b0061a2f007c5e776736445fa1,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
43,user,36021fc09f6d74b3fd1a7ab3cba4daffd1036e9fbf3664ed7d89c6ebcd68d98d,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
44,assistant,d0d401937940a19e93333e9a2ffface430e74ffa11452a0902f94d55b3f8f4a3,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
45,user,1bbc8dc9df3f78aa4a69e5f59f12c8b1bf557c6047d419f918d110d51831fcce,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
46,user,0f4cd83854e1bffcbc5459f7bd8c9fb91ea83917820d8d0c4afe0c26b05e7bfc,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
47,assistant,bea5c459cdcaa04117ce64a8c57d58f6866dbdffaed1970636e6eba09d64ee6f,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
48,user,a58de2b93578d27a6e0a20938a96086e20d35734bfe5378c89c1405325b5b8ca,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
49,assistant,f5fe7ffed4a07b463042d9f42688980c238a12595fa4bf294137194eb1a0057d,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
50,user,9b878043fc5611b64553b364f0d578124d713a32de292a3b343037e6d7f187ac,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
51,assistant,3d363aff72e91a8b894be757e119e973f780804510b51acaad5677826f1be6a5,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
52,user,062b3035174cb730834694a5c34bff0a05f95505cab64fbe16749de67648cafe,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
53,assistant,85211cfce5cb76aef001089938fd1d019fb8b676c46053959b10e359c68c8211,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
54,user,509d87971f48e3e0fd21dfedb55fa099f9571ac14b91956069ddf2640f45a847,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
55,assistant,3e41083786bc20c31d96300f2361e201240081b3e21ea738253b6ff5bf49906f,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
56,user,4168e28d541ec7f52b4f599cab000929d72d1cef3fd0be5a719f8a28b6249df3,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
57,assistant,a92b3b33cdee0867b096d290bd91ac1c537b6c816db6286c7406798ce014e54b,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
58,user,a0e5fcd1873827013d2632c4007a204d8a2b5802914a4dc79d268ee14e99c8e2,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
59,assistant,c00df500ae201a04bf8d5ef209b5eb444f9bce1955dec3b6bc9063507f8d2cb5,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
60,user,d11da27e24d8e854acebf15af8bdc3991d76520722c02e7a1db3f1dd622ca530,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
61,assistant,ddf2b2c0924a0e241f18730a6d51cd617aefff5214e1f8681b68b85c1c5e1055,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
62,user,bb36ebaae6a4c7a67e05722a9fb2ee34af8f596b87214cce56136952c219ba4e,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
63,assistant,e25389af159c94f75a3fe8e49b51b494e8e7b22b0f4de63d329f9576ea380caf,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
64,user,e895c19c9d3250e2662c832a01d3c3b5413ff7b6b7c75134de8cfee84dbe8ff9,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
65,assistant,498f38b73e8be4d955e4941e72b2d3fd37a27487b879e0a34b115be23319b15a,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
66,user,f119268adbf6532bd57dc9f564a42df761c96470099a7521ac4ed855d3664c84,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
67,assistant,f3e48de4196c012d6e2af23c3bbd265b9ef5a2758156b4ab1c5b7d8c7638ab82,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
68,user,45cd75d1dc5b51cd828992389355066f6d00531373fd679075f89860af82e8a0,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
69,user,e83480a5c35df6de5fb4dbd5727d949e40768129a765fa677549db8cb9dcbd1d,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
70,assistant,4b3938e946c549ce85266737b85a7b16ca2ab474c8b0c3a1b3be6328cbae6b95,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
71,user,a4cfb5e5b3624806315454e2778a44fa4e954f4b3ecbaa9147b78a6849ecb52e,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
72,user,23577670d08386e5f1cc095d5e4eb97bcbadc95f51ebccfa8803ba4668e85656,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
73,user,221f7569a979bed4cb9fd3a710cda12b65ffeedf7e5615e61ca1bf821656fe06,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
74,assistant,63b36594c31d132ac92059aa38b01b04949c93cf7fe9a23117ccf88e5e73426e,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
75,user,00be896fb5a64245af6660d4cd3c1efb743841fd983ad66b0a0345f69a1f0193,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
76,assistant,d04064492b3d109da3d9fcb4861e3450353e2fd7212d1972f2436b50df743adb,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
77,user,49de2b57e5d7e68f217ecd70f28a87b10cbebc073ac755259ab50b55a519413f,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
78,assistant,ef348f673df9f0e5e7ce53fa108f28f92e1cdf133ad66e6f4dcade7e69f1e412,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
79,user,2761670599635d40979c084c63129e1c94ef020335c6b2db45018f59117350e1,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
80,assistant,68ff78633c736a649feec511f2b3fb464556f66ef041d3bd30173a3a155e683b,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
81,user,f01eeaf53c377a83afd81670b4114945b14b28dbbdfdbd144fc3704e82162f89,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
82,assistant,43b15550820a19f061d2ad10c85c5d287b15e2a2358a8b036d727dbc030fba4f,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
83,user,611563bc6a5dc0a66a5067a827a70305cbe871c04417f889cc4abe2901415144,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
84,user,373c394fae5adc76a5f9a1a5842bdba75d5e974da8e9a5851702a624b5db5c45,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
85,assistant,5cd50c8dcb0954c66ba1bfbd51565d6e6c7306dffe773f1da622761b6784ceaa,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
86,user,c14733ad59e171be85e22f3d47c13f708b06d5ec6ef34a51bd5deb6ff3f2ec81,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
87,assistant,1f27081d0e8c71533ab92f22534247da78013a1de8a1ff6e95ae0a917b7b555c,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
88,user,82d3c89dd41079e2ee65c829da1b0500ef1528d4b7bd26cfdffe96536b7b883c,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
89,assistant,447b2602eed2728baa34f4dd23793cd07656dad2f09171dd2651d3b4356df474,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
90,user,c9d68315f7ab5128dd6a77f41b0e9f6b0f58ef90525377affb0e7af38e5e766a,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
91,assistant,59b33605794fb91e62b5b2b598ffd3975a86c15aefbd1e32663fe5189b5421fa,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
92,user,59e62fa27149721f1ff2d781667ab1fb5ae67795219120777218cc8924a7bbdc,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
93,assistant,2b20d2c48fb35dee96f0e0eaa098d4a5dc2267811e8e8921ca4372b8ead69733,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
94,user,c0f5f5341a29beb641f26ac823dedce80028712771c8aa0185bbe70043213458,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
95,assistant,026f2b28455d66d56a25dca9537eb50d61b350f58e3a9ad2394e093dcbeb5c2c,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
